name,link,year,title,Topic,Data,Game Goal,Game Mechanics,Failure Trigger,Visualization Strategy,Failure Forms,Structural Limits,Triggering Conditions,Constraints Visualizing,Failure Encoding,Action Adjustment,Exploratory Learning,Interpretive Reframing
Salubrious Nation,https://dl.acm.org/doi/abs/10.1145/1978942.1979193,2011,Salubrious Nation 健康国度,,,,,,,,,,,,,,
Trees of Trade,https://dl.digra.org/index.php/dl/article/download/484/484,2009,Trees of Trade: Biodiversity and Extinction,Public health perception,"County Health Rankings, HHS health indicators, and U.S. Census county data",Guess health indicators for a target region,Use map cues and sliders to submit estimates,Estimates deviate from the actual data,Choropleth maps and error feedback show gaps between guessed and actual health indicators,Avoidable Failure,Pre-determined Outcome,Knowledge-constrained,Post-hoc consequences,Comparative Performance,,Hypothesis testing,
Tardware Tycoon,https://haxor1337.itch.io/hardware-tycoon,,Tardware Tycoon,Public health perception,"County Health Rankings, HHS health indicators, and U.S. Census county data",Guess health indicators for a target region,Use map cues and sliders to submit estimates,Estimates deviate from the actual data,"County highlights, color scales, and scores compare player judgments with real data",Mitigable Failure,conficting metrics,Knowledge-constrained,Post-hoc consequences,Comparative Performance,Action Sequence Modification,Hypothesis testing,
Federal Balancing Act,https://us.abalancingact.com/federal-budget-simulator,,Federal Balancing Act,Rainforest ecology and commercial development,"Atlantic Forest species, commodity, and endangerment relationship data",Reconstruct damaged forest relationships,"Rewind time, decompose commodities, and restore species relations",Ecological dependencies conflict with commercial exploitation,Species–commodity networks and temporal reconstruction show commerce-driven ecological disruption,Inevitable Failure,conficting metrics,decision-driven,Implicit indicators,Evaluative Feedback,Action Sequence Modification,Iterative Experimentation,
College Chances by Income,https://www.nytimes.com/interactive/2015/05/28/upshot/you-draw-it-how-family-income-affects-childrens-college-chances.html,2015,You Draw It: How Family Income Predicts Children’s College Chances,Hardware industry and market competition,Simulated CPU-market and business-management data,Keep the company operating and expand market influence,"Develop CPUs, set prices, manage production, and compete in the market",Cash flow collapses or products lose competitiveness,Management dashboards and market trends show product choices affecting business performance,Avoidable Failure,bounded value range,decision-driven,Implicit indicators,Comparative Performance,Parameter Tuning,,Criteria Reweighting
College Chances by Income,https://pudding.cool/games/where/,2023,Where in the USA is this?,U.S. federal budget balancing,"CBO, OMB, SSA, and federal budget data",Achieve long-term fiscal sustainability,Adjust spending levels and revenue sources,Deficits or debt pressures remain uncontrolled,Budget bars and deficit/debt indicators show revenue-spending effects on fiscal balance,Inevitable Failure,bounded value range,decision-driven,Implicit indicators,Comparative Performance,Parameter Tuning,,Criteria Reweighting
The Drug Overdose Epidemic,https://www.nytimes.com/interactive/2017/04/14/upshot/drug-overdose-epidemic-you-draw-it.html,2017,You Draw It: Just How Bad Is the Drug Overdose Epidemic?,Family income and college opportunity,Household income and college-attendance data,Draw the relationship between income and college access,Draw a predicted curve before seeing the actual data,The user’s prediction diverges from the actual trend,User-drawn and actual curves show perception bias in income-based college access,Avoidable Failure,Pre-determined Outcome,Knowledge-constrained,Post-hoc consequences,Evaluative Feedback,,Hypothesis testing,
Assessment of Obamas Presidency,https://www.nytimes.com/interactive/2017/01/15/us/politics/you-draw-obama-legacy.html,2017,You Draw It: What Got Better or Worse During Obama’s Presidency,Geographic recognition and place perception,Wikimedia Commons geotagged image data,Guess the U.S. location based on photo clues,Make map-based guesses from multiple images,The guessed location is too far from the actual location,Photo clues and map-distance feedback show errors in geographic judgment,Avoidable Failure,Pre-determined Outcome,Knowledge-constrained,Post-hoc consequences,Evaluative Feedback,Action Sequence Modification,Hypothesis testing,
Climate Choices Quiz,https://www.nytimes.com/interactive/2020/08/30/climate/climate-footprint-quiz.html?searchResultPosition=44,2020,Think You’re Making Good Climate Choices? Take This Mini-Quiz,The U.S. drug-overdose crisis,U.S. overdose-death statistics and local estimates,Estimate the growth trend in overdose deaths,Draw a trend line and compare it with actual data,The scale or speed of the crisis is underestimated,User-drawn and actual trends show underestimation of the overdose crisis,Avoidable Failure,Pre-determined Outcome,Knowledge-constrained,Post-hoc consequences,Evaluative Feedback,,Hypothesis testing,
US Presidential Election,https://www.nytimes.com/interactive/2016/02/27/upshot/republican-delegate-calculator-how-trump-can-win.html,2016,"The Cold Hard Math of
How Trump Can Win, and
How Rubio Can Stop Him",Socioeconomic change during Obama’s presidency,"U.S. social, economic, and policy time-series indicators",Judge whether indicators improved or worsened during the presidency,Extend trend lines and reveal the actual trajectories,The user misjudges policy-period data changes,User-extended lines and actual trends show misjudgments of policy-era change,Avoidable Failure,Pre-determined Outcome,Knowledge-constrained,Post-hoc consequences,Evaluative Feedback,,Hypothesis testing,
Celebrity Spelling Bee,https://pudding.cool/2019/02/gyllenhaal/,2019,Celebrity Spelling Bee,Personal carbon footprints and mitigation actions,Emissions-impact estimates for individual mitigation actions,Identify which actions reduce emissions more effectively,Select or rank everyday mitigation actions,Low-impact actions are overestimated or high-impact actions are underestimated,Card questions and impact comparisons show differences in carbon-reduction effects,Avoidable Failure,Pre-determined Outcome,Knowledge-constrained,Post-hoc consequences,Evaluative Feedback,,Hypothesis testing,
To Build a Better Ballot,https://ncase.me/ballot/,2016,To Build a Better Ballot,Republican primary and delegate calculation,"2016 Republican primary results, state rules, and delegate data",Calculate whether a candidate can win the nomination,Adjust state-level vote results and delegate allocation,The candidate fails to reach the delegate threshold,Delegate tables and threshold lines show state results accumulating toward nomination,Avoidable Failure,conficting metrics,decision-driven,explicit visual marks,Evaluative Feedback,Parameter Tuning,,perspective shifting
The Extent of the 'Green Wave',https://newslab.malaysiakini.com/greenwave-state-polls/en/?ref=sigmaawards.org,2023,State polls: How far can the ‘Green Wave’ go?,Celebrity spelling and linguistic memory,"Google search data, reader submissions, and IPA data",Test whether the celebrity’s name can be spelled correctly,Enter a spelling and compare it with collective error patterns,The spelling deviates from the correct or common form,Spelling-flow diagrams and frequency rankings show collective misspelling patterns,Avoidable Failure,Pre-determined Outcome,Knowledge-constrained,Post-hoc consequences,Difficulty Mapping,,Hypothesis testing,
District,https://polytrope.com/district/,2016,DISTRICT: A Game about Representation & Redistricting,Voting systems and democratic representation,Spatial voting simulations and vote-counting rules,Explore more representative voting methods,Move candidates and voters and switch voting systems,"Spoiler effects, cyclic preferences, or institutional failures occur",Voter-space diagrams and animated outcomes show differences among voting systems,Avoidable Failure,conficting metrics,decision-driven,Implicit indicators,Evaluative Feedback,Strategy Reconfiguration,Iterative Experimentation,perspective shifting
The Evolution of Trust,https://ncase.me/trust/,2021,The Evolution of Trust,Party support shifts in Malaysian state elections,"GE15 voter data, constituency results, and turnout assumptions",Predict the possible extent of the “Green Wave”,Adjust turnout and partisan-support scenarios,Key state-seat predictions fall short of expectations,Constituency maps and seat scenarios show support shifts affecting state outcomes,Mitigable Failure,bounded value range,decision-driven,Implicit indicators,Evaluative Feedback,Parameter Tuning,,perspective shifting
Guess Trump’s Record,https://www.nytimes.com/interactive/2020/10/05/opinion/trump-record-quiz.html,2020,Can You Guess Trump’s Record?,Redistricting and representation,Simulated voter distribution and seat-allocation rules,Draw districts that better reflect representation,Divide grid cells into district boundaries,Similar vote shares produce imbalanced seat outcomes,Grid maps and district-boundary comparisons show redistricting effects on seats,Avoidable Failure,conficting metrics,decision-driven,explicit visual marks,Evaluative Feedback,Parameter Tuning,Iterative Experimentation,
,,,,"Trust, cooperation, and game theory",Prisoner’s Dilemma and Axelrod cooperation-model simulations,Understand how trust emerges or collapses,Choose cooperation or cheating and run strategy tournaments,Cheating strategies dominate and cooperation breaks down,Payoff matrices and evolutionary charts show individual strategies shaping group trust,Avoidable Failure,conficting metrics,Knowledge-constrained,Post-hoc consequences,Evaluative Feedback,Strategy Reconfiguration,Iterative Experimentation,
,,,,Trump-era policies and social indicators,Trump-era policy and social indicator statistics,Judge changes in indicators during Trump’s presidency,Guess or select changes in policy-related indicators,The user’s impressions diverge from actual statistics,Quiz cards and indicator comparisons contrast player judgments with actual statistics,Avoidable Failure,Pre-determined Outcome,Knowledge-constrained,Post-hoc consequences,Evaluative Feedback,,Hypothesis testing,
